"k","ntop","lambda","nu","selection_method","best_alpha","optimal_z_cutpoint","mean_cindex","mean_cindex_dichot","mean_abs_logrank_z"
2,270,0.349,0.056,"max_cindex",0.85,1.4,0.647112637283772,0.560448591837988,2.15457195405062
2,NA,0.349,0.056,"max_cindex",0.9,1,0.653566766270279,0.59087920925729,2.98249686253172
3,270,0.349,0.056,"max_cindex",0.7,0.8,0.658963729717246,0.587703243136384,2.75358484068807
3,NA,0.349,0.056,"max_cindex",0.75,1.8,0.656054400519282,0.532211248332432,3.44998298298442
4,270,0.349,0.056,"max_cindex",0.35,2,0.651452816966853,0.532955469095275,3.48033827982701
4,NA,0.349,0.056,"max_cindex",0.15,0.4,0.658317691111299,0.631987461653445,2.76624041984374
5,270,0.349,0.056,"max_cindex",0.55,2,0.656493764029676,0.526244869477352,2.71056806030461
5,NA,0.349,0.056,"max_cindex",0.45,2,0.660074894231082,0.530079183224441,3.21229749529031
6,270,0.349,0.056,"max_cindex",0.4,1,0.656305070787762,0.589430680749167,2.44882744833942
6,NA,0.349,0.056,"max_cindex",0.5,2,0.66392804320489,0.5433544546851,4.09801809896343
7,270,0.349,0.056,"max_cindex",0.65,1,0.653497260091292,0.582888697584566,2.64700524498007
7,NA,0.349,0.056,"max_cindex",0.6,2,0.653761133024924,0.547146998198332,2.92633185710936
8,270,0.349,0.056,"max_cindex",0.35,1,0.650548257709076,0.583868498569141,2.27489079044425
8,NA,0.349,0.056,"max_cindex",0.15,1.2,0.658508750036838,0.584448369932516,2.98494160557865
9,270,0.349,0.056,"max_cindex",0.4,1,0.659794045541094,0.596750640152092,3.14663958789613
9,NA,0.349,0.056,"max_cindex",0.3,0.8,0.652564112323154,0.602795877266969,2.68522384171544
10,270,0.349,0.056,"max_cindex",0.3,1.2,0.647933203357654,0.57019379138425,2.18463589769286
10,NA,0.349,0.056,"max_cindex",0.2,1.6,0.66306157674949,0.549013961896201,2.56323462340931
11,270,0.349,0.056,"max_cindex",0.95,2,0.659363023828385,0.524634827975015,3.86731195848805
11,NA,0.349,0.056,"max_cindex",0.6,0.6,0.657533113449618,0.613742290671146,2.74279425359951
12,270,0.349,0.056,"max_cindex",0.15,1,0.648851834059377,0.585869069000732,2.69307312173134
12,NA,0.349,0.056,"max_cindex",0.2,1.8,0.649223655735196,0.525190260372649,3.21905798094822
2,270,0.349,0.056,"max_cindex_dichot",0.3,0.6,0.645035713516831,0.63354574414249,3.12953433658699
2,NA,0.349,0.056,"max_cindex_dichot",0.7,0.6,0.62864652183852,0.610313492363813,2.65111211571205
3,270,0.349,0.056,"max_cindex_dichot",0.6,0.6,0.643789548151244,0.627372249308739,2.94297256486707
3,NA,0.349,0.056,"max_cindex_dichot",0.55,0.2,0.643450484269739,0.617915268437576,2.34663324314431
4,270,0.349,0.056,"max_cindex_dichot",0.85,0.8,0.622296572504997,0.592896655751314,2.3216742924917
4,NA,0.349,0.056,"max_cindex_dichot",0.15,0.4,0.658317691111299,0.631987461653445,2.76624041984374
5,270,0.349,0.056,"max_cindex_dichot",0.2,1,0.634955368245305,0.599291393339565,2.86833466626621
5,NA,0.349,0.056,"max_cindex_dichot",0.3,1,0.64934283308625,0.610861388730039,2.98804592179427
6,270,0.349,0.056,"max_cindex_dichot",0.35,0.6,0.656026862249912,0.61979702903007,2.69482827075321
6,NA,0.349,0.056,"max_cindex_dichot",0.15,0.4,0.637651628431375,0.636933758272189,2.81187348890142
7,270,0.349,0.056,"max_cindex_dichot",0,0.6,0.621117907663532,0.604554099383133,2.74807834112312
7,NA,0.349,0.056,"max_cindex_dichot",0.05,0.6,0.640657869115962,0.628761517595326,2.8749499723213
8,270,0.349,0.056,"max_cindex_dichot",0.15,0.8,0.640355068351129,0.606129298457314,2.54490338547228
8,NA,0.349,0.056,"max_cindex_dichot",0.35,0.8,0.637327699976407,0.604847578314142,2.60120290558943
9,270,0.349,0.056,"max_cindex_dichot",0.3,0.2,0.656538067893516,0.633046252089884,2.46643835260031
9,NA,0.349,0.056,"max_cindex_dichot",0.6,0.2,0.636901615147265,0.605248843347211,2.08350411701146
10,270,0.349,0.056,"max_cindex_dichot",0.45,0.2,0.624663050014058,0.61381253147682,2.50435797390614
10,NA,0.349,0.056,"max_cindex_dichot",0.15,0.6,0.647395213699067,0.615667045466388,2.82209861983342
11,270,0.349,0.056,"max_cindex_dichot",0.35,0.4,0.653898820241954,0.607487648544929,2.39977310252633
11,NA,0.349,0.056,"max_cindex_dichot",0.6,0.6,0.657533113449618,0.613742290671146,2.74279425359951
12,270,0.349,0.056,"max_cindex_dichot",0.65,0.4,0.64242654357618,0.615489938807032,2.21684012957633
12,NA,0.349,0.056,"max_cindex_dichot",0.55,0.6,0.632624996063714,0.590863529076273,2.24660036872389
2,270,0.349,0.056,"max_logrank",0.75,1.4,0.643232196741727,0.564026868548637,3.64180968947081
2,NA,0.349,0.056,"max_logrank",0.9,1,0.653566766270279,0.59087920925729,2.98249686253172
3,270,0.349,0.056,"max_logrank",0.55,2,0.630550150217013,0.541118795611906,3.49735213581233
3,NA,0.349,0.056,"max_logrank",0.8,2,0.626038693062476,0.546558458083004,3.64174344641927
4,270,0.349,0.056,"max_logrank",0.8,2,0.634170554213152,0.528236166007905,4.99010630433491
4,NA,0.349,0.056,"max_logrank",0.45,2,0.634377898703495,0.560105479082489,3.21933625895793
5,270,0.349,0.056,"max_logrank",0.25,1.8,0.620064689912005,0.540402329415374,4.30590253056136
5,NA,0.349,0.056,"max_logrank",0.7,1.8,0.628176067834647,0.528253945910871,3.56852438098729
6,270,0.349,0.056,"max_logrank",0.55,2,0.643497628584377,0.534591570087547,4.06974332069135
6,NA,0.349,0.056,"max_logrank",0.5,2,0.66392804320489,0.5433544546851,4.09801809896343
7,270,0.349,0.056,"max_logrank",0.85,2,0.587527509741412,0.54774678111588,4.42623144550716
7,NA,0.349,0.056,"max_logrank",0.9,2,0.630980283210591,0.526297767732198,3.43511703497814
8,270,0.349,0.056,"max_logrank",0.9,2,0.625502625146317,0.508014692667146,4.00888574156768
8,NA,0.349,0.056,"max_logrank",0.65,2,0.625934359644068,0.52250703164404,4.0472011909306
9,270,0.349,0.056,"max_logrank",0.6,2,0.612107834785365,0.523496854267214,3.6794764227601
9,NA,0.349,0.056,"max_logrank",0.95,2,0.627741587314231,0.528127910511598,4.42871033267883
10,270,0.349,0.056,"max_logrank",0.35,2,0.639851955133319,0.53906495717008,4.64994942021636
10,NA,0.349,0.056,"max_logrank",0.7,2,0.609388868956977,0.539513942612611,4.32833862374358
11,270,0.349,0.056,"max_logrank",0.95,2,0.659363023828385,0.524634827975015,3.86731195848805
11,NA,0.349,0.056,"max_logrank",0.65,1.2,0.626379656142409,0.550978877884826,2.98607925791715
12,270,0.349,0.056,"max_logrank",0.9,2,0.619776037021879,0.527649769585253,3.96088612449875
12,NA,0.349,0.056,"max_logrank",0.8,2,0.626634886235765,0.551904050744966,4.10234880772372
