"k","alpha","ntop","lambda","nu","z_cutpoint","mean_cindex_dichot","se_cindex_dichot","mean_abs_logrank_z","se_abs_logrank_z"
2,0,270,0.349,0.056,-2,NA,NA,NA,NA
2,0,270,0.349,0.056,-1.8,0.477213541666667,NA,2.18303353421999,NA
2,0,270,0.349,0.056,-1.6,0.497462356664396,0.0202488149977293,1.17846940865471,1.00456412556527
2,0,270,0.349,0.056,-1.4,0.50543968260734,0.00744957980758681,0.652723702164906,0.18431198996218
2,0,270,0.349,0.056,-1.2,0.508472760732941,0.010233459300437,0.679286320076545,0.117824815188733
2,0,270,0.349,0.056,-1,0.499118934559489,0.00971257588368319,0.61682298326818,0.194344325482095
2,0,270,0.349,0.056,-0.8,0.493401092060955,0.014018372686394,0.682879638082159,0.167952393310723
2,0,270,0.349,0.056,-0.6,0.502016916597464,0.0220246875436859,0.971450246294712,0.226574108236762
2,0,270,0.349,0.056,-0.4,0.518699463861044,0.030262154706903,0.972314103944107,0.303116101470538
2,0,270,0.349,0.056,-0.2,0.51004619814679,0.0176071008186044,0.433478367328207,0.22685274009846
2,0,270,0.349,0.056,0,0.499623206683639,0.0205294319258992,0.588085650099373,0.115607055002231
2,0,270,0.349,0.056,0.2,0.510682739843361,0.0289692292275832,0.652624429481259,0.242639749420734
2,0,270,0.349,0.056,0.4,0.522313930177685,0.0308663028772793,0.814544176173173,0.245288922847026
2,0,270,0.349,0.056,0.6,0.509409581451626,0.020656968277251,0.523566915034097,0.118122041481837
2,0,270,0.349,0.056,0.8,0.514396610883925,0.0217193327618522,0.725122279430831,0.206609440216675
2,0,270,0.349,0.056,1,0.517346873953691,0.0163830155491489,0.849357002587541,0.237280362686876
2,0,270,0.349,0.056,1.2,0.530960035768112,0.0161378269977518,1.07282879445959,0.397338843627314
2,0,270,0.349,0.056,1.4,0.521828372958463,0.018824928355195,1.57124085111544,0.661182896342021
2,0,270,0.349,0.056,1.6,0.520804053300081,0.0179912604812685,1.78784475172558,0.577132336505154
2,0,270,0.349,0.056,1.8,0.516090677503903,0.0166687182586742,1.6618298970727,0.562981687281175
2,0,270,0.349,0.056,2,0.512325199745404,0.0146969063761282,2.04231826353049,0.811674464933985
2,0,NA,0.349,0.056,-2,0.502182417348854,0.00685627940325033,0.801703300961509,0.160202251454967
2,0,NA,0.349,0.056,-1.8,0.505886408596687,0.00487247058203762,0.71054414771,0.146212244503748
2,0,NA,0.349,0.056,-1.6,0.507558042518888,0.00641199893325903,0.660910739282897,0.209783909612297
2,0,NA,0.349,0.056,-1.4,0.50782693936844,0.00738202272430068,0.587935403992391,0.232909327354367
2,0,NA,0.349,0.056,-1.2,0.501546348268201,0.0116825054618889,0.710897833316752,0.210218227131316
2,0,NA,0.349,0.056,-1,0.511593795459651,0.0124957331263028,0.78109562527575,0.236477934965283
2,0,NA,0.349,0.056,-0.8,0.509590501998456,0.0185847049708426,0.713056085690828,0.292770644508099
2,0,NA,0.349,0.056,-0.6,0.508609289293982,0.0189534007163652,0.502725269851182,0.143471673230291
2,0,NA,0.349,0.056,-0.4,0.520403791821599,0.0219632163014578,0.633287151880909,0.294708741332703
2,0,NA,0.349,0.056,-0.2,0.519391677542399,0.0298929499677357,0.848435235067949,0.289800838194656
2,0,NA,0.349,0.056,0,0.514368539726083,0.0289111939106709,1.02437677993385,0.279047153304387
2,0,NA,0.349,0.056,0.2,0.521927436797359,0.0173699673696288,0.632319863554889,0.205734806913785
2,0,NA,0.349,0.056,0.4,0.503883247841242,0.0133654112319735,0.595295122219387,0.156034357145568
2,0,NA,0.349,0.056,0.6,0.513638152651878,0.0270589634065256,1.02138186781881,0.257883493908639
2,0,NA,0.349,0.056,0.8,0.523020717078172,0.0271550771306486,1.32248579269009,0.338842192223765
2,0,NA,0.349,0.056,1,0.522369890848901,0.0241728006489301,1.5100301080804,0.511020837028541
2,0,NA,0.349,0.056,1.2,0.524136256754822,0.0209305439676682,1.61219614316351,0.431181810199989
2,0,NA,0.349,0.056,1.4,0.520901818043211,0.0184078242516082,1.43783468014309,0.421357546293162
2,0,NA,0.349,0.056,1.6,0.513025714808532,0.0235666555356397,1.35288342853124,0.445816668243635
2,0,NA,0.349,0.056,1.8,0.498606009301674,0.0197325344858227,1.18292653993161,0.257340942459099
2,0,NA,0.349,0.056,2,0.485422003857334,0.0117903082181083,0.852999645865021,0.297952684527287
2,0.05,270,0.349,0.056,-2,0.499163312770934,0.0160377163861123,2.9447628932677,2.14491273993399
2,0.05,270,0.349,0.056,-1.8,0.505147355324125,0.0177183207706777,3.10768782158969,2.05338711343155
2,0.05,270,0.349,0.056,-1.6,0.516377465652516,0.0117005709432846,0.612480349256412,0.220386801483634
2,0.05,270,0.349,0.056,-1.4,0.514349110530333,0.0127594886444567,0.691649134998495,0.239216840944834
2,0.05,270,0.349,0.056,-1.2,0.542693791554878,0.0183249651560293,1.01714100604356,0.325201099085673
2,0.05,270,0.349,0.056,-1,0.552095345390018,0.0251983214753583,1.29789403192792,0.431673146164216
2,0.05,270,0.349,0.056,-0.8,0.531348559087944,0.022645270249831,0.791991437748076,0.361312800015762
2,0.05,270,0.349,0.056,-0.6,0.516891546674418,0.026769965760876,0.995612653364277,0.305272763797524
2,0.05,270,0.349,0.056,-0.4,0.510337136005731,0.0328623494480032,1.24709304597943,0.239193379472509
2,0.05,270,0.349,0.056,-0.2,0.509725718269547,0.0333325292782626,1.20267338872068,0.280999195642137
2,0.05,270,0.349,0.056,0,0.517111652963545,0.0209089413113589,0.686215713462686,0.279779999493805
2,0.05,270,0.349,0.056,0.2,0.50040433195622,0.0248709083305865,0.856520673995101,0.33439698247302
2,0.05,270,0.349,0.056,0.4,0.509013239179561,0.032027131328519,1.05159232817729,0.327343078888255
2,0.05,270,0.349,0.056,0.6,0.513253030975623,0.0291702841155666,0.965256835281346,0.313168433601155
2,0.05,270,0.349,0.056,0.8,0.527531553725221,0.0356024162685354,1.25565542506104,0.492175526637639
2,0.05,270,0.349,0.056,1,0.532486527471329,0.0269599614870098,1.14237040954559,0.373980966358638
2,0.05,270,0.349,0.056,1.2,0.542083237769202,0.0279119985471126,1.49097423868496,0.522710353927368
2,0.05,270,0.349,0.056,1.4,0.507945045904427,0.0139829304230887,0.82536892386273,0.247481792908515
2,0.05,270,0.349,0.056,1.6,0.498540979967546,0.00995248774341085,1.23716085983716,0.292527682114733
2,0.05,270,0.349,0.056,1.8,0.498540979967546,0.00995248774341085,1.23716085983716,0.292527682114733
2,0.05,270,0.349,0.056,2,0.505236890038892,0.00803687315147553,0.87914617529987,0.338458616946245
2,0.05,NA,0.349,0.056,-2,0.502808988764045,NA,0.372489094570842,NA
2,0.05,NA,0.349,0.056,-1.8,0.513680375789766,0.00456548351369737,0.459904178046017,0.221964913419656
2,0.05,NA,0.349,0.056,-1.6,0.518666174777832,0.00601170820174784,0.50498574529289,0.109279651177151
2,0.05,NA,0.349,0.056,-1.4,0.511388220995557,0.00716125551444434,0.351591449232512,0.0714516807846391
2,0.05,NA,0.349,0.056,-1.2,0.523766313256911,0.0128259975068565,0.83233253977548,0.227135005697198
2,0.05,NA,0.349,0.056,-1,0.516605650697318,0.0156608672782526,0.813868672941889,0.131519843281597
2,0.05,NA,0.349,0.056,-0.8,0.519196993003279,0.0135738037560728,0.472416634312497,0.137297037228754
2,0.05,NA,0.349,0.056,-0.6,0.51411609429705,0.0163843508953335,0.429847000376652,0.166100241065402
2,0.05,NA,0.349,0.056,-0.4,0.541854846713577,0.0147516110113663,0.590140801306489,0.132856386163596
2,0.05,NA,0.349,0.056,-0.2,0.543221686899391,0.0272998425060582,0.992950878940353,0.157331402455748
2,0.05,NA,0.349,0.056,0,0.548156521763404,0.0261436327077623,0.924795037110184,0.227848132236894
2,0.05,NA,0.349,0.056,0.2,0.549454827857005,0.0318610821568649,1.31303869201541,0.302943417251429
2,0.05,NA,0.349,0.056,0.4,0.545283902743914,0.02928840885489,0.93926917456647,0.285767221091279
2,0.05,NA,0.349,0.056,0.6,0.563737108439,0.0216049811900878,1.1408787102391,0.331552502054456
2,0.05,NA,0.349,0.056,0.8,0.54490800776126,0.0238925414051579,0.986052825298643,0.308595607989036
2,0.05,NA,0.349,0.056,1,0.540642752103548,0.0249073491108758,1.18550688864577,0.348018340412436
2,0.05,NA,0.349,0.056,1.2,0.539641744641285,0.0295393287244033,1.56142243641577,0.514865086542111
2,0.05,NA,0.349,0.056,1.4,0.527939464970646,0.0237047579346568,1.40938520756373,0.611487254872578
2,0.05,NA,0.349,0.056,1.6,0.51576993835617,0.0196689193757418,1.10050865531369,0.627294802281288
2,0.05,NA,0.349,0.056,1.8,0.508236727089591,0.014853908130083,1.93740713141615,0.81488397184991
2,0.05,NA,0.349,0.056,2,0.495251544690265,0.0116125390070353,1.13617011229087,0.371660793776464
2,0.1,270,0.349,0.056,-2,0.507647058823529,0.00764705882352945,0.509208609779747,0.509208609779747
2,0.1,270,0.349,0.056,-1.8,0.509195227713444,0.00426928772137034,0.792693436466421,0.136286829589242
2,0.1,270,0.349,0.056,-1.6,0.507798594900411,0.00812825432714867,0.702082862705664,0.241055340527918
2,0.1,270,0.349,0.056,-1.4,0.519819188178569,0.00427795052634241,0.878780655383086,0.22082700063069
2,0.1,270,0.349,0.056,-1.2,0.514320288300846,0.00340784815580866,0.430995582427225,0.157230720663683
2,0.1,270,0.349,0.056,-1,0.530642758110111,0.00939224908962672,0.542145997484777,0.298211547444868
2,0.1,270,0.349,0.056,-0.8,0.547889600746414,0.00487605712721334,0.616952708966032,0.200754298524938
2,0.1,270,0.349,0.056,-0.6,0.565465309359127,0.013028049378785,1.03646863461025,0.194594785633527
2,0.1,270,0.349,0.056,-0.4,0.551517843999341,0.0173404653426449,0.83733584046644,0.26913939729711
2,0.1,270,0.349,0.056,-0.2,0.552108453606763,0.0242588255337614,1.11304248492739,0.12652465572959
2,0.1,270,0.349,0.056,0,0.549136257922158,0.0230768966674888,1.03096374396913,0.271978895848428
2,0.1,270,0.349,0.056,0.2,0.554078965839911,0.0212298873119709,1.02582886838987,0.26814754157892
2,0.1,270,0.349,0.056,0.4,0.566432876880054,0.0237536316933807,1.25748893715505,0.334604802964982
2,0.1,270,0.349,0.056,0.6,0.558992439708682,0.0172599828437879,1.26689242535188,0.258434046477965
2,0.1,270,0.349,0.056,0.8,0.54821679978886,0.0164918539664001,1.02089089463342,0.300218438546904
2,0.1,270,0.349,0.056,1,0.534006567608906,0.00776290438404794,0.919462167343168,0.136442216198872
2,0.1,270,0.349,0.056,1.2,0.522622846822735,0.0136647675488167,0.916781195246422,0.213898021995909
2,0.1,270,0.349,0.056,1.4,0.515855285429246,0.0144217294575073,0.915414572604361,0.438185135755311
2,0.1,270,0.349,0.056,1.6,0.503479357353357,0.0130933418011276,1.01256964952026,0.435856220010126
2,0.1,270,0.349,0.056,1.8,0.511799435470869,0.0130692767678088,1.09968976372967,0.486534934652508
2,0.1,270,0.349,0.056,2,0.518061950276433,0.00757303239796349,1.0776873001654,0.564095852934127
2,0.1,NA,0.349,0.056,-2,0.504589963280294,0.00458996328029376,0.303915521778737,0.303915521778737
2,0.1,NA,0.349,0.056,-1.8,0.507789847806001,0.00386786686786503,0.677505057511014,0.19723358996062
2,0.1,NA,0.349,0.056,-1.6,0.507856357531317,0.00609103367192912,0.523054549022151,0.257047195167262
2,0.1,NA,0.349,0.056,-1.4,0.518809194041115,0.00505222587314587,0.785445138134357,0.141098036493209
2,0.1,NA,0.349,0.056,-1.2,0.534305003185546,0.0138988900295223,0.91482400078246,0.207567531172784
2,0.1,NA,0.349,0.056,-1,0.54134476369818,0.0164401538220066,1.01292953428252,0.246649619589845
2,0.1,NA,0.349,0.056,-0.8,0.553683476342251,0.0244297997392978,1.23038512522474,0.322058045059638
2,0.1,NA,0.349,0.056,-0.6,0.573201000663728,0.0257613579084407,1.41411099492965,0.374409445178713
2,0.1,NA,0.349,0.056,-0.4,0.584761418911165,0.0312037983485608,1.52613203777663,0.551301532512402
2,0.1,NA,0.349,0.056,-0.2,0.609609059639686,0.0273378592355661,1.94598023180613,0.627305191097518
2,0.1,NA,0.349,0.056,0,0.581225709601647,0.0253148460045864,1.4722954683895,0.604938331616404
2,0.1,NA,0.349,0.056,0.2,0.57469263313585,0.0292749446383014,1.64644472590854,0.35924973295692
2,0.1,NA,0.349,0.056,0.4,0.583138818408613,0.0111553310219188,1.51447625954933,0.203616383120222
2,0.1,NA,0.349,0.056,0.6,0.580811384005265,0.00814925413467333,1.75747767633687,0.445215574827288
2,0.1,NA,0.349,0.056,0.8,0.556467610228405,0.0124473629709395,1.47951702919777,0.436217951784511
2,0.1,NA,0.349,0.056,1,0.549133654091566,0.0149694027597216,1.37560556119292,0.494865653507171
2,0.1,NA,0.349,0.056,1.2,0.538498485818229,0.0139122625433549,1.40135554846297,0.541745354222087
2,0.1,NA,0.349,0.056,1.4,0.517146558925469,0.0177145946564159,0.980651673126262,0.539980703043013
2,0.1,NA,0.349,0.056,1.6,0.52783473957387,0.0171910459927229,1.19943251611238,0.648328901694646
2,0.1,NA,0.349,0.056,1.8,0.529838775321515,0.0138641150869604,1.72004379444112,0.512365451775096
2,0.1,NA,0.349,0.056,2,0.521800375221937,0.00775100207137753,1.56709550456267,0.503797750865969
2,0.15,270,0.349,0.056,-2,0.508400345174681,0.0067188794387767,0.684774311068841,0.280914334952934
2,0.15,270,0.349,0.056,-1.8,0.513089243736959,0.00872618077646614,0.67599593928525,0.168051951415852
2,0.15,270,0.349,0.056,-1.6,0.514363987362389,0.0168535568635286,0.994650915793715,0.44043582144472
2,0.15,270,0.349,0.056,-1.4,0.516196429382736,0.0137407725686597,0.389283156498413,0.101928698827574
2,0.15,270,0.349,0.056,-1.2,0.524854263753732,0.0146023988093468,0.347461120648722,0.153222490811142
2,0.15,270,0.349,0.056,-1,0.518264252933402,0.00843813923929983,0.316331844713632,0.0652846226358512
2,0.15,270,0.349,0.056,-0.8,0.531987280407375,0.0102514556645237,0.509221927260792,0.150302084823414
2,0.15,270,0.349,0.056,-0.6,0.532159677195451,0.0127812869060704,0.37475622556682,0.169382636796452
2,0.15,270,0.349,0.056,-0.4,0.543373355742442,0.0115328292795826,0.63009058063322,0.257950782613863
2,0.15,270,0.349,0.056,-0.2,0.563554677573735,0.0173445021740145,0.978304570069,0.431231062432198
