"k","alpha","ntop","lambda","nu","mean_cindex","se_cindex","optimal_z_cutpoint","mean_cindex_dichot","se_cindex_dichot","mean_abs_logrank_z","se_abs_logrank_z"
2,0,NA,0.3,0.05,0.590179483370552,0.0224698079655014,2,0.525648219042071,0.00859614314257635,1.87024723418749,0.545223282064054
3,0,NA,0.3,0.05,0.553736405226339,0.0173244696894058,1.2,0.539030374582582,0.0239993864239898,1.88373921624936,0.274926633897599
4,0,NA,0.3,0.05,0.584438359792348,0.0237484984335696,1.6,0.537346550106827,0.00873935213704122,1.96263900354052,0.648215148962619
5,0,NA,0.3,0.05,0.608729090874591,0.0252909584941361,1.4,0.526648112498345,0.0134565725034973,1.95770943490855,0.73225312152659
6,0,NA,0.3,0.05,0.616941085675221,0.0256702689526131,1.4,0.572588191022229,0.00879103880572843,2.86482571499503,0.565094948729297
7,0,NA,0.3,0.05,0.626677149343412,0.0114747882786986,1.4,0.574680374615697,0.00751589743967294,3.11467461959887,0.431247782243462
8,0,NA,0.3,0.05,0.629294041546668,0.0105978469381217,0.8,0.610680600848494,0.00669573208911282,2.7558590621799,0.502771834996701
9,0,NA,0.3,0.05,0.622361820139299,0.0140787232532431,1.2,0.568453952674101,0.0162382645960255,2.45644167027595,0.692104099334744
10,0,NA,0.3,0.05,0.639954935738355,0.0114107969360894,0.8,0.609644915952794,0.00869564619482173,2.76954227047979,0.429056689638593
11,0,NA,0.3,0.05,0.645945299097798,0.0123965746557339,1,0.590776831396818,0.0130130493084749,2.60416160348466,0.339638178465534
12,0,NA,0.3,0.05,0.653502046701182,0.0129946943975182,1.4,0.57222382623133,0.0136003087046646,2.88130283709871,0.525387754005335
2,0.05,NA,0.3,0.05,0.590461220085474,0.0146621255243032,2,0.529486834016619,0.00562899020686991,2.54124085488847,0.744813133728566
3,0.05,NA,0.3,0.05,0.622842700889893,0.00643141032697067,1.8,0.544564668529608,0.0151856282463944,2.7313162823348,1.09103900052371
4,0.05,NA,0.3,0.05,0.592543055629728,0.0116902423012442,1.2,0.564868313019107,0.0179485114579688,2.12289176236627,0.750968465254421
5,0.05,NA,0.3,0.05,0.647721774205071,0.0119793820627826,1.2,0.574996843315522,0.0139000307420376,2.43663321851125,0.392260426663006
6,0.05,NA,0.3,0.05,0.641872043979953,0.0111558579041886,1.8,0.541569186635068,0.018548320010544,2.8104130654704,0.831828618001776
7,0.05,NA,0.3,0.05,0.642841032360545,0.0169375596665599,1.4,0.55795590639645,0.0130656981019332,2.54642888141058,0.597392649953688
8,0.05,NA,0.3,0.05,0.651530045032209,0.0132875652492702,0.8,0.608549966903231,0.0110005447915876,2.7872621070473,0.418917993636797
9,0.05,NA,0.3,0.05,0.649085469952738,0.00758039883558882,1,0.595183384086503,0.0158065592372352,2.7884577395508,0.559985317469307
10,0.05,NA,0.3,0.05,0.638380266645074,0.0166524820466914,1.4,0.575657948964731,0.0153602548508561,2.98964373239553,0.547863110031958
11,0.05,NA,0.3,0.05,0.640019757537662,0.0113185201308065,0.8,0.610980875429251,0.0127634812869418,3.06319287110656,0.3838588549443
12,0.05,NA,0.3,0.05,0.649714722079822,0.00735921739559161,1,0.593285985086669,0.0190042392555597,2.83908104016677,0.606486788475987
2,0.1,NA,0.3,0.05,0.617121963574879,0.0170965435169375,1.6,0.548728372582199,0.0102851627869168,2.49526875896549,0.764027502574589
3,0.1,NA,0.3,0.05,0.626082358641425,0.021108318919296,1.6,0.551377455818318,0.00842094214673574,2.24025540078241,0.463363566733649
4,0.1,NA,0.3,0.05,0.643409397095037,0.0192351869861011,2,0.529400924059402,0.00243463468266089,2.6741848635374,0.503520490526851
5,0.1,NA,0.3,0.05,0.649565759462684,0.0175707559247284,1,0.596954451602468,0.0186426822923145,2.79229908160388,0.604977856407157
6,0.1,NA,0.3,0.05,0.654253565509258,0.00923156002934306,1.2,0.581289155502583,0.0138704897193194,2.62375248857689,0.361498045888596
7,0.1,NA,0.3,0.05,0.632755012153805,0.0127297190888942,1,0.600189286091429,0.0114761665932406,2.92286767974447,0.397707715938111
8,0.1,NA,0.3,0.05,0.651666141280668,0.0052492580634601,0.6,0.622909591581405,0.0130225882457709,2.74703458640895,0.554638533887215
9,0.1,NA,0.3,0.05,0.647767217960559,0.0117818130395359,1.2,0.594240211970485,0.00888290320360316,2.85823630942676,0.317746050043933
10,0.1,NA,0.3,0.05,0.643169707116322,0.0078455598168172,1.2,0.584171353065221,0.01263484718348,2.76020194560008,0.40977233885859
11,0.1,NA,0.3,0.05,0.649482039912182,0.0134203978175841,0.8,0.608836603513758,0.0136849303628957,2.87119968422315,0.471447323920034
12,0.1,NA,0.3,0.05,0.650097401983441,0.00996798325143495,1.2,0.581496089304458,0.0202552698352191,2.53005620845809,0.549817979661728
2,0.15,NA,0.3,0.05,0.65269298221727,0.0250474721556264,2,0.546283497679904,0.0151750915993167,2.66980268952069,0.671127349708441
3,0.15,NA,0.3,0.05,0.642056317667373,0.0106924519935268,1.4,0.57991355923836,0.0104899554900292,3.01625934640712,0.475945115992241
4,0.15,NA,0.3,0.05,0.641089700058922,0.00728874589313818,0.6,0.620316038746246,0.0182070212281851,2.91314514265286,0.642387131519564
5,0.15,NA,0.3,0.05,0.638701228113923,0.0112137395657612,1.4,0.572589321002304,0.0154339744762751,2.96378044621351,0.599734233807033
6,0.15,NA,0.3,0.05,0.644210870813561,0.0125229405892537,1.4,0.573203032703458,0.00930050140116439,2.81872236773278,0.43637488672705
7,0.15,NA,0.3,0.05,0.650482823204932,0.00436369618231534,1.8,0.552711633274197,0.0132889782679076,2.80241802081061,0.979903192844868
8,0.15,NA,0.3,0.05,0.642456250254048,0.0119733158176355,1,0.598515126089355,0.0111110198893058,2.79471258897473,0.491805888801765
9,0.15,NA,0.3,0.05,0.668023374616507,0.0118986745740292,0.8,0.613583600521379,0.0123612276558771,2.8965732995865,0.554885929280243
10,0.15,NA,0.3,0.05,0.654041170250563,0.00706489924276221,1.2,0.587256766878306,0.00951861560381831,2.86926084630829,0.260676908846032
11,0.15,NA,0.3,0.05,0.652386263160849,0.0146658152191838,0.6,0.613370268121855,0.010411796307087,2.71161803446886,0.410574507333404
12,0.15,NA,0.3,0.05,0.653731920210377,0.0141648573082917,2,0.555555555555556,NA,3.89924655211109,NA
2,0.2,NA,0.3,0.05,0.638399329218487,0.0101768527603163,1.4,0.568212462293575,0.0125342467334593,2.81406847033366,0.503429232372463
3,0.2,NA,0.3,0.05,0.636045193318217,0.02078033913188,2,0.535909625861532,0.00714568374365377,2.50398993017497,0.668884978351764
4,0.2,NA,0.3,0.05,0.645660040017959,0.0118170000143456,1.6,0.558730238451548,0.0129838504887927,2.52668572574883,0.505464840623701
5,0.2,NA,0.3,0.05,0.648768478650926,0.0152204107242356,1.2,0.581105178945217,0.00507772010589498,2.74067615076725,0.200147017543787
6,0.2,NA,0.3,0.05,0.653889299474573,0.00929085404287395,0.4,0.628531502396488,0.0164797795104326,2.687693014982,0.598123693793124
7,0.2,NA,0.3,0.05,0.647429625118738,0.0118238574671853,1.2,0.584565360074984,0.0139069004017368,2.57037716360324,0.448556003080991
8,0.2,NA,0.3,0.05,0.665755088560086,0.00353618737977326,2,0.524003933544238,0.00462476087554568,2.8950367933869,0.682081680205747
9,0.2,NA,0.3,0.05,0.660575630063297,0.0127280467628469,1.8,0.556274227774254,0.00527327956924367,2.95756495728042,0.335036425135097
10,0.2,NA,0.3,0.05,0.66235678340312,0.0106561283405548,2,0.533536337564479,0.00589336136935834,3.85624103207603,0.211225640765719
11,0.2,NA,0.3,0.05,0.645684873947828,0.010227155343524,1.2,0.586849748002778,0.00513121371133884,2.97742429581719,0.139705358369621
12,0.2,NA,0.3,0.05,0.655724826058682,0.0122917766398486,2,0.531373150264247,0.0110922892159887,3.11853429069606,0.969813218731893
2,0.25,NA,0.3,0.05,0.65015164065222,0.0172274769265494,1.6,0.585514730456466,0.00708677709075628,3.66652661825219,0.449985482263614
3,0.25,NA,0.3,0.05,0.662942993575748,0.00879463700099544,2,0.547325068613948,0.00486988778687599,2.88473328125614,0.205923990575601
4,0.25,NA,0.3,0.05,0.657765591285158,0.0103880272127749,1.6,0.555516281063725,0.0130293587246507,2.82111326842842,0.609845515350934
5,0.25,NA,0.3,0.05,0.665528124471651,0.0145666662777362,0.6,0.627719567002069,0.0178039466960991,3.18640850724876,0.514976308492752
6,0.25,NA,0.3,0.05,0.662824271138287,0.0134814533839619,1.4,0.578790901250116,0.00870453576540556,2.9700728286554,0.573618320921431
7,0.25,NA,0.3,0.05,0.660321183478061,0.0101352263952778,2,0.541727590726215,0.00594107020775732,3.72539306880893,0.384472278080015
8,0.25,NA,0.3,0.05,0.656731445599173,0.0106283967994295,1.6,0.554943086847209,0.0109760556044805,2.87792792655872,0.264957917015002
9,0.25,NA,0.3,0.05,0.657158656964877,0.016071064792077,2,0.55207362849543,0.0106044341826332,3.97836509101116,2.0517467762319
10,0.25,NA,0.3,0.05,0.657544123682335,0.0140326528798358,0.8,0.592688381940152,0.0128861876105989,2.5247136319048,0.354168424041752
11,0.25,NA,0.3,0.05,0.660902954128525,0.0151127593931219,2,0.532263944586219,0.00619759387531899,2.78879185102978,0.494377736983755
12,0.25,NA,0.3,0.05,0.65731870170224,0.00928702869822031,2,0.530626780626781,NA,3.79836670287228,NA
2,0.3,NA,0.3,0.05,0.643856334658665,0.01235000441243,1.2,0.585130925732918,0.0089872950498985,2.55604098925252,0.457478368179054
3,0.3,NA,0.3,0.05,0.651876676153886,0.0125801916447068,1.2,0.580885694062731,0.0122240372485775,2.76723972855317,0.62028056670944
4,0.3,NA,0.3,0.05,0.657764379169292,0.0140223250924784,1.4,0.569847973050852,0.00694197368338887,2.79181192591282,0.397738499328803
5,0.3,NA,0.3,0.05,0.660842892042365,0.0091142376613715,1.2,0.595525626586697,0.0103413131773097,3.13395104130774,0.431012045943904
6,0.3,NA,0.3,0.05,0.647082052001072,0.0123966430048929,2,0.541002976958319,0.00851496564958261,3.4438533022639,0.230960306258954
7,0.3,NA,0.3,0.05,0.649674525957267,0.0114487894986736,1.2,0.577739395775577,0.0108928653207,2.68724340522613,0.28166126793687
8,0.3,NA,0.3,0.05,0.659154945986932,0.00855717220283807,2,0.531646902264632,0.0041229997035683,3.51341302451248,0.215839273692189
9,0.3,NA,0.3,0.05,0.663254189151237,0.00544816770427618,1.6,0.552340852474362,0.0131185695906428,3.37716340145483,0.385653885971648
10,0.3,NA,0.3,0.05,0.657733283037786,0.0108866996994013,2,0.535952998930118,0.0076015072286584,3.82627818896495,0.2956974783443
11,0.3,NA,0.3,0.05,0.663716413280643,0.00682132113218083,1.2,0.559179312309459,0.0126877295037506,2.52605595597332,0.583287352043169
12,0.3,NA,0.3,0.05,0.659818654711447,0.0171900795472524,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
2,0.35,NA,0.3,0.05,0.648821838842387,0.00866342719211708,1.4,0.573857431594124,0.0099614588542891,3.00383210238274,0.48499459139477
3,0.35,NA,0.3,0.05,0.652070970962729,0.0090147877489453,1.4,0.565684480533132,0.00565184399372873,2.55070467080408,0.459545158120472
4,0.35,NA,0.3,0.05,0.662811098747591,0.0137704384788904,1,0.596225911668968,0.00802635093562494,2.92228804100481,0.393784085498134
5,0.35,NA,0.3,0.05,0.656198718538956,0.0145063387703068,1,0.57854246422088,0.00803960445481734,2.87336740572181,0.503588595411117
6,0.35,NA,0.3,0.05,0.669494404416995,0.0158039984956988,2,0.527659160067558,0.00148514417217499,3.47005929903622,0.164677705099166
7,0.35,NA,0.3,0.05,0.670268108946174,0.0128147309294376,1.4,0.565094577001671,0.0129800613567686,3.77218388460122,0.930296556605402
8,0.35,NA,0.3,0.05,0.657977508463908,0.0115254117745686,1.4,0.568878798475927,0.00433685771928124,3.67785090445024,0.878382474947033
9,0.35,NA,0.3,0.05,0.656717639966709,0.00794930520202271,1.6,0.557017806144604,0.0106706220089692,3.90465979353487,0.85777000847312
10,0.35,NA,0.3,0.05,0.660973504024877,0.0186849185595435,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
11,0.35,NA,0.3,0.05,0.64686901333082,0.0106931324073497,1.2,0.574321523741234,0.0137172335037829,3.24030821780475,0.638180108688139
12,0.35,NA,0.3,0.05,0.64840911984162,0.0154566064393592,1.8,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
2,0.4,NA,0.3,0.05,0.65001878684731,0.00857027025065688,1.2,0.578793893314614,0.0155330442487287,2.81302069272936,0.618481971460226
3,0.4,NA,0.3,0.05,0.66277741461276,0.0132491312638913,1.6,0.560026415390264,0.00724759939419353,2.72144570706166,0.560892066395789
4,0.4,NA,0.3,0.05,0.662031361613785,0.0146577444592722,2,0.535968751710483,0.00979360411097977,3.50368591544916,0.198215445973399
5,0.4,NA,0.3,0.05,0.659560114856607,0.0141724974170666,2,0.540787323962679,0.0101605433358988,4.07509648033599,0.276729777463715
6,0.4,NA,0.3,0.05,0.661323544750178,0.0122676901003945,1.6,0.55268982374521,0.0108367271348044,3.44863764104053,0.257931997059738
7,0.4,NA,0.3,0.05,0.642266832499123,0.0151375620902228,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
8,0.4,NA,0.3,0.05,0.658478899736525,0.0206077901671136,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
9,0.4,NA,0.3,0.05,0.661135588350909,0.0142476767462741,1.4,0.556937205262887,0.0153016028047003,3.31789281757588,0.610989719617724
10,0.4,NA,0.3,0.05,0.661135746860695,0.0130967632009677,1.8,0.533967397462778,0.00358359936558191,3.30597092205295,0.381494554865046
11,0.4,NA,0.3,0.05,0.658782186486559,0.0160066587309226,2,0.514868879925341,0.0101844861607872,2.39265840202233,0.683901625933128
12,0.4,NA,0.3,0.05,0.649595054187702,0.0135690607329434,2,0.528179888663715,0.00132699207816349,3.63809669211164,0.177740967683911
2,0.45,NA,0.3,0.05,0.650863446897288,0.00632036033084616,1.2,0.582332006515097,0.0119795706709466,2.94508789660488,0.507110479085601
3,0.45,NA,0.3,0.05,0.658932397162223,0.00834076356238324,1,0.602136209675276,0.0155786316776571,2.98278015460054,0.507470971133541
4,0.45,NA,0.3,0.05,0.664240425351765,0.016096387820897,2,0.539759328005264,0.00611956697578666,2.86718877023542,0.748744849675901
5,0.45,NA,0.3,0.05,0.646038842873054,0.0145243015977147,1.4,0.551471506693415,0.00868876745178819,2.94213051439088,0.25206926789677
6,0.45,NA,0.3,0.05,0.650497977972267,0.0196020593395989,1.8,0.535558722423233,0.00721183425438768,3.9347284698202,0.0756523702654911
7,0.45,NA,0.3,0.05,0.659634435746248,0.0155577829569756,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
8,0.45,NA,0.3,0.05,0.639735154947925,0.0199455661274407,1.8,0.536964314114808,0.0100210567565365,3.19833106826973,0.393070495256239
9,0.45,NA,0.3,0.05,0.667302077537048,0.013132068865988,1.4,0.56024264193886,0.00850872102280927,3.18913225778249,0.505000285732999
10,0.45,NA,0.3,0.05,0.644162229428888,0.0193062073520097,1.6,0.523022021803417,0.00255065254500575,2.38981623059084,0.867241746208572
11,0.45,NA,0.3,0.05,0.65234783614892,0.010047330758324,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
12,0.45,NA,0.3,0.05,0.644598799831263,0.0117025584576606,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
2,0.5,NA,0.3,0.05,0.65813982865814,0.0132534906789226,1.2,0.584738343783046,0.012082111059064,2.88723215020333,0.679385821371206
3,0.5,NA,0.3,0.05,0.653958099908868,0.010212165035814,2,0.532794109469046,0.0045148883251534,3.22370485968694,0.649944508997027
4,0.5,NA,0.3,0.05,0.662908605509889,0.0147289036509351,1.4,0.547369797663833,0.00979281315165496,2.77800708604823,0.557666445668678
5,0.5,NA,0.3,0.05,0.661797981065629,0.017502923031293,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
6,0.5,NA,0.3,0.05,0.644017930371007,0.0135982249511405,1.4,0.544293824109339,0.00874198705311892,2.8865571717114,0.635926065772869
7,0.5,NA,0.3,0.05,0.651206051655793,0.0125298614257631,1.6,0.55391783171458,0.0111260453617453,3.36484258070294,0.35224653430098
8,0.5,NA,0.3,0.05,0.651609791501855,0.0132262848737859,2,0.545909191682009,0.00778753764428822,3.72314257473684,0.386520385290175
9,0.5,NA,0.3,0.05,0.653415049315106,0.0180992322224939,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
10,0.5,NA,0.3,0.05,0.653634311796495,0.0146910116673036,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
11,0.5,NA,0.3,0.05,0.660826902409502,0.00997527927527845,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
12,0.5,NA,0.3,0.05,0.646979919485375,0.0159483269117086,2,0.532263944586219,0.00619759387531899,2.78879185102978,0.494377736983755
2,0.55,NA,0.3,0.05,0.659609088985494,0.0165882421449777,1.6,0.574267794603134,0.00963952153535693,3.38078470514139,0.485307274114834
3,0.55,NA,0.3,0.05,0.667158158264897,0.0153849643799122,2,0.531840761023353,0.00373396945983317,3.21534331497312,0.357799281557206
4,0.55,NA,0.3,0.05,0.667564956195875,0.0131940527833195,1.8,0.534526231677819,0.00511271231109887,3.41153389309024,0.48885177177536
5,0.55,NA,0.3,0.05,0.64516969546848,0.0129328741978192,1.4,0.551528869166885,0.00688108394654583,2.96476135190693,0.677486980162642
6,0.55,NA,0.3,0.05,0.654315711993386,0.0179657923520752,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
7,0.55,NA,0.3,0.05,0.641246466051907,0.0179557414142817,2,0.530626780626781,NA,3.79836670287228,NA
8,0.55,NA,0.3,0.05,0.649177127165891,0.0237554476149252,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
9,0.55,NA,0.3,0.05,0.642559998565823,0.0195254132456729,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
10,0.55,NA,0.3,0.05,0.631667888178534,0.013925532492742,2,0.52825255471508,0.00126988419672405,3.65325403151475,0.162609489116769
11,0.55,NA,0.3,0.05,0.650496396780968,0.0186855709535084,2,0.530626780626781,NA,3.79836670287228,NA
12,0.55,NA,0.3,0.05,0.637183130934278,0.0128104909647343,1.8,0.519632880116707,0.00734157044209351,2.46617525515545,1.1032533003255
2,0.6,NA,0.3,0.05,0.652238090200528,0.00818755408333896,1.4,0.576168046608351,0.00850277555642397,3.22405933113203,0.489680499085681
3,0.6,NA,0.3,0.05,0.666806903015686,0.0150585858781153,1.4,0.570324037821254,0.0122617769824938,2.82508192721988,0.374469174437272
4,0.6,NA,0.3,0.05,0.660993051096309,0.0126723470400642,2,0.540194906901068,0.00956812627428744,3.92902792402566,0.130661221153386
5,0.6,NA,0.3,0.05,0.642264343415902,0.0199738617770182,1.8,0.540194906901068,0.00956812627428744,3.92902792402566,0.130661221153386
6,0.6,NA,0.3,0.05,0.640548732711926,0.0162532915872604,1.8,0.555508297214458,0.00574526403910286,3.25744297755924,0.802246167619804
7,0.6,NA,0.3,0.05,0.638804392280387,0.0190288309162979,1.6,0.528115975267563,0.00915945059226964,2.53259281537309,0.885914579243227
8,0.6,NA,0.3,0.05,0.64827574920086,0.0170786456712784,0.8,0.59841507473437,0.0166832091487535,2.71170076851223,0.701736566986523
9,0.6,NA,0.3,0.05,0.643108788971966,0.0169858101446719,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
10,0.6,NA,0.3,0.05,0.635865641533022,0.0176706575344551,2,0.528346565668841,0.00228021495794006,3.54076814544291,0.25759855742937
11,0.6,NA,0.3,0.05,0.627796537949199,0.012574489996414,2,0.530626780626781,NA,3.79836670287228,NA
12,0.6,NA,0.3,0.05,0.648963130775729,0.0177050925243922,2,0.530626780626781,NA,3.79836670287228,NA
2,0.65,NA,0.3,0.05,0.659032981692014,0.0161452577533318,1.6,0.562498003625157,0.0110239296238775,3.09811331789446,0.353497387268403
3,0.65,NA,0.3,0.05,0.661428509535163,0.0140009527390077,1.4,0.561206720047116,0.00314936847403,2.80259082862354,0.425247092936714
4,0.65,NA,0.3,0.05,0.654672196466439,0.0131551003585174,2,0.540787323962679,0.0101605433358988,4.07509648033599,0.276729777463715
5,0.65,NA,0.3,0.05,0.650214107904017,0.0117695038613443,1.6,0.534136005366693,0.00570156831997775,3.44701130140517,1.14123219188404
