"method","factor","signature_raw","signature","r_RB","p_perm","q_BH","in_main_figure"
"DeSurv","D1 Classical/restCAF","PurIST_BasalLike","PurIST: Basal-like",-0.210537806564297,0.342332883355832,0.42791610419479,TRUE
"DeSurv","D1 Classical/restCAF","PurIST_Classical","PurIST: Classical",0.270259938837921,0.187590620468977,0.267986600669966,TRUE
"DeSurv","D1 Classical/restCAF","DECODER_BasalTumor","DECODER: Basal-like tumor",-0.138026553088496,0.00664966751662417,0.0169378323536653,FALSE
"DeSurv","D1 Classical/restCAF","DECODER_ClassicalTumor","DECODER: Classical tumor",0.288315123019795,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D1 Classical/restCAF","DECODER_ActivatedStroma","DECODER: Activated Stroma",-0.285028046306242,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D1 Classical/restCAF","DECODER_NormalStroma","DECODER: Normal Stroma",0.620187553282182,4.99975001249937e-05,0.000182423311266869,FALSE
"DeSurv","D1 Classical/restCAF","DECODER_Immune","DECODER: Immune",0.404432809773124,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D1 Classical/restCAF","DECODER_Exocrine","DECODER: Exocrine",0.0892098555649958,0.315434228288586,0.401732271876972,TRUE
"DeSurv","D1 Classical/restCAF","DECODER_Endocrine","DECODER: Endocrine",0.564135372566531,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D1 Classical/restCAF","Moffitt_Basal-like","Moffitt: Basal-like",0.0882564102564103,0.497525123743813,0.581401964384539,TRUE
"DeSurv","D1 Classical/restCAF","Moffitt_Classical","Moffitt: Classical",0.129565833516577,0.303634818259087,0.39393484871211,TRUE
"DeSurv","D1 Classical/restCAF","Moffitt_Activated","Moffitt: Activated",-0.596437136005481,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D1 Classical/restCAF","Moffitt_Normal","Moffitt: Normal",0.453988584157037,0.00929953502324884,0.0220252145287472,TRUE
"DeSurv","D1 Classical/restCAF","Moffitt_Immune","Moffitt: Immune",0.655979643765903,0.00884955752212389,0.0213337547408344,TRUE
"DeSurv","D1 Classical/restCAF","Collisson_Classical","Collisson: Classical",-0.186344969199179,0.131643417829109,0.20081199329864,TRUE
"DeSurv","D1 Classical/restCAF","Collisson_Exocrine","Collisson: Exocrine",0.0766948123769187,0.565521723913804,0.644265255091676,FALSE
"DeSurv","D1 Classical/restCAF","Collisson_QM","Collisson: QM",-0.28779366700715,0.0832958352082396,0.135481177748342,FALSE
"DeSurv","D1 Classical/restCAF","Bailey_Squamous","Bailey: Squamous",-0.249194639827682,0.0224988750562472,0.046371727215166,TRUE
"DeSurv","D1 Classical/restCAF","Bailey_Immunogenic","Bailey: Immunogenic",0.178411424304648,0.148642567871606,0.221732007322286,FALSE
"DeSurv","D1 Classical/restCAF","Bailey_PancreaticProgenitor","Bailey: Pancreatic Progenitor",0.0302015864929772,0.894555272236388,0.925402005761781,FALSE
"DeSurv","D1 Classical/restCAF","Bailey_ADEX","Bailey: ADEX",0.166091078144881,0.0818459077046148,0.134420551699688,FALSE
"DeSurv","D1 Classical/restCAF","Chan-Seng-Yue_Basal-like A","Chan-Seng-Yue: Basal-like A",-0.0545697617890131,0.585270736463177,0.661466926653667,FALSE
"DeSurv","D1 Classical/restCAF","Chan-Seng-Yue_Basal-like B","Chan-Seng-Yue: Basal-like B",0.0661321171104898,0.547822608869556,0.629413210190554,FALSE
"DeSurv","D1 Classical/restCAF","Chan-Seng-Yue_Classical A","Chan-Seng-Yue: Classical A",0.222316248503839,0.000849957502124894,0.00263779914452553,FALSE
"DeSurv","D1 Classical/restCAF","Chan-Seng-Yue_Classical B","Chan-Seng-Yue: Classical B",0.357866542447886,0.00039998000099995,0.00130113976228899,FALSE
"DeSurv","D1 Classical/restCAF","Maurer_ECM","Maurer: ECM",-0.395872051675972,4.99975001249937e-05,0.000182423311266869,TRUE
"DeSurv","D1 Classical/restCAF","Maurer_Immune","Maurer: Immune",-0.116337958033364,0.0485475726213689,0.0912141892905355,FALSE
"DeSurv","D1 Classical/restCAF","Puleo_Pure Classical","Puleo: Pure Classical",0.169362674202137,0.0152992350382481,0.0344232788360582,FALSE
"DeSurv","D1 Classical/restCAF","Puleo_Immune Classical","Puleo: Immune Classical",0.654755840186304,0.0015999200039998,0.00485368989977467,FALSE
"DeSurv","D1 Classical/restCAF","Puleo_Desmoplastic","Puleo: Desmoplastic",-0.0981627296587927,0.179891005449728,0.258425908491809,FALSE
