"factor1","factor2","factor3"
"DMBT1","UHMK1","HSPB1"
"IGFBP2","DDR2","KRT7"
"S100A4","INHBA","MSLN"
"KRT23","DYNC2H1","RPSAP58"
"LIF","ZDHHC20","S100P"
"IFI6","ITPR2","RPS16"
"PDLIM3","HMCN1","IL32"
"CLDN18","LAMA2","SH3BGRL3"
"MYO15B","SLFN5","IFITM2"
"SYT8","PLXNC1","RPS21"
"TFF2","SVEP1","SEMA4B"
"TMPRSS2","CYBB","APOL1"
"CHGB","SYNE1","S100A16"
"CST1","SAMHD1","DNAJB1"
"B3GNT7","SKIL","MT2A"
"F5","ADAMTS12","TNFRSF21"
"TNRC18","BICC1","RPL28"
"IGF2","ITGA1","FXYD3"
"ARSD","COL8A1","SERPING1"
"ZDHHC7","PDGFRA","HMGA1"
"LENG8","ABCA1","S100A14"
"ATP9A","TCF4","H1F0"
"TMPRSS3","CEP170","KRT17"
"CES1","CD163","CSTB"
"HOPX","MAN1A1","ASS1"
"CNN1","MSR1","EFNB1"
"MIA","CCDC88A","MDK"
"CRIP2","F13A1","LY6E"
"NEURL1B","RPS28","CAMK2N1"
"CHGA","RALGAPA2","MGLL"
"ACTG2","ZEB1","PDZK1IP1"
"CXCL14","FBXO32","BCL2L1"
"TPPP3","INPP4B","C19orf33"
"PIGR","CDH11","SFN"
"CYP27A1","PKHD1","ITGB4"
"ADAM8","AKAP2","TSPAN1"
"FGFR3","CYP1B1","SLC16A3"
"IGF1R","CCL5","C4A"
"PLEKHB1","FGL2","KLF5"
"CPXM1","MAP1B","IER2"
"ATP7B","PLXDC2","ZFP36L1"
"SLC12A2","LRRK2","MAL2"
"CCL20","KIAA0754","SCNN1A"
"AKNA","EDIL3","MALL"
"COL16A1","ITGBL1","BGN"
"FGFR2","RPS26","HLA-H"
"COL9A2","MYLK","HSPA1A"
"COL22A1","COL11A1","LGALS3"
"IRF7","NFIB","FAM83H"
"SBNO2","PTPN13","EPB41L1"
"MGAT3","PDE3A","EFNA1"
"SYNM","TRIM22","TKT"
"APOD","DPYD","SLC2A1"
"SEMA6A","COL14A1","PLOD1"
"TNXB","CNTN1","IER3"
"PTGIS","NCKAP1L","B3GNT3"
"CCL18","PHLDB2","PRSS3"
"ZC3H12A","ITGA4","TOB1"
"CELSR3","MACC1","EGR1"
"EMB","SEMA5A","PLA2G16"
"KCNJ15","MRC1","OCIAD2"
"SORBS1","SLIT2","LPCAT4"
"PAQR8","ZEB2","BST2"
"SLC4A4","ADAM10","EPHA2"
"ACSS1","SAMD9","MUC5B"
"ST6GALNAC1","MS4A7","KCNN4"
"DES","EFEMP1","ITGA3"
"PRUNE2","BIRC3","TSTA3"
"PLCB4","WISP1","IFI27"
"CADPS","LAMA4","MMP1"
"FMO5","FAM198B","SLPI"
"RAP1GAP2","PTPRC","CLTB"
"GALNT12","FAP","SPINK1"
"CCL2","ARRDC3","JUP"
"REG3A","MYH10","PPP1R15A"
"ZCCHC24","FCGR2A","TRIM29"
"LTF","PARP14","PPP1R1B"
"EFHD2","DSE","ARPC1A"
"ATP11A","EHF","GPRC5A"
"GP2","OSMR","RAB25"
"HIPK2","ARID5B","ZFP36L2"
"SLC26A9","ASPN","CLDN7"
"TACC2","SLCO2B1","DDIT4"
"TRAK1","FPR3","FKBP4"
"SAA1","DOCK8","LAPTM4B"
"CLDN23","SLFN11","MUC13"
"FOXJ1","ZNF532","PSCA"
"FRY","SPON1","SDCBP2"
"GATA6","SEMA3C","PROM2"
"PLXNA2","FERMT2","LRRC8A"
"GOLGA8A","SAMD9L","LAMB3"
"IL2RG","DOCK2","FSCN1"
"KIAA1211","IGF1","TSPAN13"
"SFRP1","TACC1","TSPAN8"
